evaluation,comparison,metric,mean,std,n_seeds,mean_std
grouped,M2_minus_M1_trajectory,auprc,0.04438000000000001,0.07163963288571486,5,+0.0444 ± 0.0716
grouped,M2_minus_M1_trajectory,lift@20%,0.3484000000000001,0.3871889719503901,5,+0.3484 ± 0.3872
grouped,M2_minus_M1_trajectory,precision@20%,0.0375,0.040095386268247865,5,+0.0375 ± 0.0401
grouped,M2_minus_M1_trajectory,recall@20%,0.06966,0.07743541179589604,5,+0.0697 ± 0.0774
grouped,M3_minus_M2_contextual,auprc,-0.04668000000000001,0.05305517882356068,5,-0.0467 ± 0.0531
grouped,M3_minus_M2_contextual,lift@20%,-0.11560000000000006,0.1766827665619938,5,-0.1156 ± 0.1767
grouped,M3_minus_M2_contextual,precision@20%,-0.0125,0.018643229333996838,5,-0.0125 ± 0.0186
grouped,M3_minus_M2_contextual,recall@20%,-0.023139999999999994,0.03534540988586776,5,-0.0231 ± 0.0353
temporal,M2_minus_M1_trajectory,auprc,0.07391999999999999,0.028118623721654638,5,+0.0739 ± 0.0281
temporal,M2_minus_M1_trajectory,lift@20%,0.41059999999999997,0.34118294212929223,5,+0.4106 ± 0.3412
temporal,M2_minus_M1_trajectory,precision@20%,0.05364000000000002,0.04236281388198853,5,+0.0536 ± 0.0424
temporal,M2_minus_M1_trajectory,recall@20%,0.0821,0.06804274391880445,5,+0.0821 ± 0.0680
temporal,M3_minus_M2_contextual,auprc,0.0002600000000000047,0.020368063236351173,5,+0.0003 ± 0.0204
temporal,M3_minus_M2_contextual,lift@20%,0.04580000000000002,0.17124602185160392,5,+0.0458 ± 0.1712
temporal,M3_minus_M2_contextual,precision@20%,0.0065199999999999755,0.02371723002376122,5,+0.0065 ± 0.0237
temporal,M3_minus_M2_contextual,recall@20%,0.009079999999999977,0.03419045188353028,5,+0.0091 ± 0.0342
