evaluation,generator_seed,value,comparison,metric
grouped,42,-0.03469999999999998,M2_minus_M1_trajectory,auprc
grouped,314,0.1357,M2_minus_M1_trajectory,auprc
grouped,1618,0.012700000000000017,M2_minus_M1_trajectory,auprc
grouped,2026,0.005400000000000016,M2_minus_M1_trajectory,auprc
grouped,2718,0.1028,M2_minus_M1_trajectory,auprc
temporal,42,0.061,M2_minus_M1_trajectory,auprc
temporal,314,0.11979999999999996,M2_minus_M1_trajectory,auprc
temporal,1618,0.0807,M2_minus_M1_trajectory,auprc
temporal,2026,0.04880000000000001,M2_minus_M1_trajectory,auprc
temporal,2718,0.05929999999999999,M2_minus_M1_trajectory,auprc
grouped,42,0.011399999999999993,M3_minus_M2_contextual,auprc
grouped,314,-0.04799999999999999,M3_minus_M2_contextual,auprc
grouped,1618,-0.013400000000000023,M3_minus_M2_contextual,auprc
grouped,2026,-0.054800000000000015,M3_minus_M2_contextual,auprc
grouped,2718,-0.12860000000000005,M3_minus_M2_contextual,auprc
temporal,42,0.013600000000000001,M3_minus_M2_contextual,auprc
temporal,314,0.015400000000000025,M3_minus_M2_contextual,auprc
temporal,1618,-0.01880000000000001,M3_minus_M2_contextual,auprc
temporal,2026,-0.024999999999999994,M3_minus_M2_contextual,auprc
temporal,2718,0.016100000000000003,M3_minus_M2_contextual,auprc
grouped,42,0.038500000000000034,M2_minus_M1_trajectory,recall@20%
grouped,314,0.19999999999999996,M2_minus_M1_trajectory,recall@20%
grouped,1618,0.03570000000000001,M2_minus_M1_trajectory,recall@20%
grouped,2026,0.0,M2_minus_M1_trajectory,recall@20%
grouped,2718,0.0741,M2_minus_M1_trajectory,recall@20%
temporal,42,0.042899999999999994,M2_minus_M1_trajectory,recall@20%
temporal,314,0.194,M2_minus_M1_trajectory,recall@20%
temporal,1618,0.09790000000000004,M2_minus_M1_trajectory,recall@20%
temporal,2026,0.04999999999999999,M2_minus_M1_trajectory,recall@20%
temporal,2718,0.0257,M2_minus_M1_trajectory,recall@20%
grouped,42,0.0,M3_minus_M2_contextual,recall@20%
grouped,314,-0.07999999999999996,M3_minus_M2_contextual,recall@20%
grouped,1618,-0.03570000000000001,M3_minus_M2_contextual,recall@20%
grouped,2026,0.0,M3_minus_M2_contextual,recall@20%
grouped,2718,0.0,M3_minus_M2_contextual,recall@20%
temporal,42,0.02849999999999997,M3_minus_M2_contextual,recall@20%
temporal,314,0.014999999999999958,M3_minus_M2_contextual,recall@20%
temporal,1618,-0.03500000000000003,M3_minus_M2_contextual,recall@20%
temporal,2026,-0.01429999999999998,M3_minus_M2_contextual,recall@20%
temporal,2718,0.05119999999999997,M3_minus_M2_contextual,recall@20%
grouped,42,0.020800000000000013,M2_minus_M1_trajectory,precision@20%
grouped,314,0.10419999999999999,M2_minus_M1_trajectory,precision@20%
grouped,1618,0.020799999999999985,M2_minus_M1_trajectory,precision@20%
grouped,2026,0.0,M2_minus_M1_trajectory,precision@20%
grouped,2718,0.041700000000000015,M2_minus_M1_trajectory,precision@20%
temporal,42,0.028200000000000003,M2_minus_M1_trajectory,precision@20%
temporal,314,0.12260000000000001,M2_minus_M1_trajectory,precision@20%
temporal,1618,0.06540000000000001,M2_minus_M1_trajectory,precision@20%
temporal,2026,0.03340000000000004,M2_minus_M1_trajectory,precision@20%
temporal,2718,0.018600000000000005,M2_minus_M1_trajectory,precision@20%
grouped,42,0.0,M3_minus_M2_contextual,precision@20%
grouped,314,-0.041700000000000015,M3_minus_M2_contextual,precision@20%
grouped,1618,-0.020799999999999985,M3_minus_M2_contextual,precision@20%
grouped,2026,0.0,M3_minus_M2_contextual,precision@20%
grouped,2718,0.0,M3_minus_M2_contextual,precision@20%
temporal,42,0.018799999999999983,M3_minus_M2_contextual,precision@20%
temporal,314,0.009499999999999953,M3_minus_M2_contextual,precision@20%
temporal,1618,-0.023300000000000015,M3_minus_M2_contextual,precision@20%
temporal,2026,-0.009600000000000053,M3_minus_M2_contextual,precision@20%
temporal,2718,0.03720000000000001,M3_minus_M2_contextual,precision@20%
grouped,42,0.19300000000000006,M2_minus_M1_trajectory,lift@20%
grouped,314,1.0,M2_minus_M1_trajectory,lift@20%
grouped,1618,0.17800000000000038,M2_minus_M1_trajectory,lift@20%
grouped,2026,0.0,M2_minus_M1_trajectory,lift@20%
grouped,2718,0.371,M2_minus_M1_trajectory,lift@20%
temporal,42,0.21399999999999997,M2_minus_M1_trajectory,lift@20%
temporal,314,0.972,M2_minus_M1_trajectory,lift@20%
temporal,1618,0.4889999999999999,M2_minus_M1_trajectory,lift@20%
temporal,2026,0.2500000000000002,M2_minus_M1_trajectory,lift@20%
temporal,2718,0.1279999999999999,M2_minus_M1_trajectory,lift@20%
grouped,42,0.0,M3_minus_M2_contextual,lift@20%
grouped,314,-0.3999999999999999,M3_minus_M2_contextual,lift@20%
grouped,1618,-0.17800000000000038,M3_minus_M2_contextual,lift@20%
grouped,2026,0.0,M3_minus_M2_contextual,lift@20%
grouped,2718,0.0,M3_minus_M2_contextual,lift@20%
temporal,42,0.14300000000000024,M3_minus_M2_contextual,lift@20%
temporal,314,0.07499999999999973,M3_minus_M2_contextual,lift@20%
temporal,1618,-0.17499999999999982,M3_minus_M2_contextual,lift@20%
temporal,2026,-0.07100000000000017,M3_minus_M2_contextual,lift@20%
temporal,2718,0.2570000000000001,M3_minus_M2_contextual,lift@20%
