evaluation,model,metric,mean,std,n_seeds,mean_std
grouped,M1_snapshot,auprc,0.2291,0.05457760529741115,5,0.2291 ± 0.0546
grouped,M2_plus_trajectory,auprc,0.27348,0.09471685172132782,5,0.2735 ± 0.0947
grouped,M3_plus_contextual,auprc,0.22679999999999997,0.055571305545218205,5,0.2268 ± 0.0556
temporal,M1_snapshot,auprc,0.22372,0.030283196660854682,5,0.2237 ± 0.0303
temporal,M2_plus_trajectory,auprc,0.29764,0.031140536283114972,5,0.2976 ± 0.0311
temporal,M3_plus_contextual,auprc,0.2979,0.05057138518965047,5,0.2979 ± 0.0506
grouped,M1_snapshot,roc_auc,0.62942,0.04177310139312139,5,0.6294 ± 0.0418
grouped,M2_plus_trajectory,roc_auc,0.74474,0.0542149702573007,5,0.7447 ± 0.0542
grouped,M3_plus_contextual,roc_auc,0.72202,0.06236218405412048,5,0.7220 ± 0.0624
temporal,M1_snapshot,roc_auc,0.62962,0.0396827670406185,5,0.6296 ± 0.0397
temporal,M2_plus_trajectory,roc_auc,0.73228,0.03147533955337098,5,0.7323 ± 0.0315
temporal,M3_plus_contextual,roc_auc,0.73078,0.03353545884582466,5,0.7308 ± 0.0335
grouped,M1_snapshot,recall@5%,0.1871,0.055660578509390296,5,0.1871 ± 0.0557
grouped,M2_plus_trajectory,recall@5%,0.1531,0.0859827017486657,5,0.1531 ± 0.0860
grouped,M3_plus_contextual,recall@5%,0.13146,0.025007059003409417,5,0.1315 ± 0.0250
temporal,M1_snapshot,recall@5%,0.13772,0.026761483516427115,5,0.1377 ± 0.0268
temporal,M2_plus_trajectory,recall@5%,0.16263999999999998,0.007150034964949472,5,0.1626 ± 0.0072
temporal,M3_plus_contextual,recall@5%,0.14632,0.03062951191253298,5,0.1463 ± 0.0306
grouped,M1_snapshot,precision@5%,0.38332,0.12637686497140213,5,0.3833 ± 0.1264
grouped,M2_plus_trajectory,precision@5%,0.31667999999999996,0.19896398417804162,5,0.3167 ± 0.1990
grouped,M3_plus_contextual,precision@5%,0.26666,0.03725289250514648,5,0.2667 ± 0.0373
