evaluation,model,metric,mean,std,n_seeds,mean_std
grouped,B0_haz_only,auprc,0.16264,0.04640908316267409,5,0.1626 ± 0.0464
grouped,B1_haz_slope,auprc,0.1797,0.043623617456602565,5,0.1797 ± 0.0436
grouped,B2_logreg,auprc,0.16218,0.04034113285469312,5,0.1622 ± 0.0403
grouped,M1_snapshot,auprc,0.2291,0.05457760529741115,5,0.2291 ± 0.0546
grouped,M2_plus_trajectory,auprc,0.27348,0.09471685172132782,5,0.2735 ± 0.0947
grouped,M3_plus_contextual,auprc,0.22679999999999997,0.055571305545218205,5,0.2268 ± 0.0556
temporal,B0_haz_only,auprc,0.18528,0.023162296950000445,5,0.1853 ± 0.0232
temporal,B1_haz_slope,auprc,0.2213,0.0512832818762606,5,0.2213 ± 0.0513
temporal,B2_logreg,auprc,0.16162,0.011907434652350597,5,0.1616 ± 0.0119
temporal,M1_snapshot,auprc,0.22372,0.030283196660854682,5,0.2237 ± 0.0303
temporal,M2_plus_trajectory,auprc,0.29764,0.031140536283114972,5,0.2976 ± 0.0311
temporal,M3_plus_contextual,auprc,0.2979,0.05057138518965047,5,0.2979 ± 0.0506
grouped,B0_haz_only,roc_auc,0.6013,0.05116893588887694,5,0.6013 ± 0.0512
grouped,B1_haz_slope,roc_auc,0.6467,0.03856319488839068,5,0.6467 ± 0.0386
grouped,B2_logreg,roc_auc,0.6278,0.03835316153852248,5,0.6278 ± 0.0384
grouped,M1_snapshot,roc_auc,0.62942,0.04177310139312139,5,0.6294 ± 0.0418
grouped,M2_plus_trajectory,roc_auc,0.74474,0.0542149702573007,5,0.7447 ± 0.0542
grouped,M3_plus_contextual,roc_auc,0.72202,0.06236218405412048,5,0.7220 ± 0.0624
temporal,B0_haz_only,roc_auc,0.61772,0.025947774471040914,5,0.6177 ± 0.0259
temporal,B1_haz_slope,roc_auc,0.65412,0.04491733518364595,5,0.6541 ± 0.0449
temporal,B2_logreg,roc_auc,0.5725,0.02799821422876822,5,0.5725 ± 0.0280
temporal,M1_snapshot,roc_auc,0.62962,0.0396827670406185,5,0.6296 ± 0.0397
