evaluation,model,metric,mean,std,n_seeds,mean_std
grouped,B0_haz_only,auprc,0.16264,0.04640908316267409,5,0.1626 ± 0.0464
grouped,B1_haz_slope,auprc,0.1797,0.043623617456602565,5,0.1797 ± 0.0436
grouped,B2_logreg,auprc,0.16218,0.04034113285469312,5,0.1622 ± 0.0403
grouped,M1_snapshot,auprc,0.2291,0.05457760529741115,5,0.2291 ± 0.0546
grouped,M2_plus_trajectory,auprc,0.27348,0.09471685172132782,5,0.2735 ± 0.0947
grouped,M3_plus_contextual,auprc,0.22679999999999997,0.055571305545218205,5,0.2268 ± 0.0556
temporal,B0_haz_only,auprc,0.18528,0.023162296950000445,5,0.1853 ± 0.0232
temporal,B1_haz_slope,auprc,0.2213,0.0512832818762606,5,0.2213 ± 0.0513
temporal,B2_logreg,auprc,0.16162,0.011907434652350597,5,0.1616 ± 0.0119
temporal,M1_snapshot,auprc,0.22372,0.030283196660854682,5,0.2237 ± 0.0303
temporal,M2_plus_trajectory,auprc,0.29764,0.031140536283114972,5,0.2976 ± 0.0311
temporal,M3_plus_contextual,auprc,0.2979,0.05057138518965047,5,0.2979 ± 0.0506
grouped,B0_haz_only,recall@20%,0.20962,0.10021268382794662,5,0.2096 ± 0.1002
grouped,B1_haz_slope,recall@20%,0.29892,0.09674407992223608,5,0.2989 ± 0.0967
grouped,B2_logreg,recall@20%,0.27405999999999997,0.03635227640739986,5,0.2741 ± 0.0364
grouped,M1_snapshot,recall@20%,0.41244,0.0655307027278054,5,0.4124 ± 0.0655
grouped,M2_plus_trajectory,recall@20%,0.4821,0.09938510954866428,5,0.4821 ± 0.0994
grouped,M3_plus_contextual,recall@20%,0.45896,0.08202699555634106,5,0.4590 ± 0.0820
temporal,B0_haz_only,recall@20%,0.24934000000000003,0.040277326127735935,5,0.2493 ± 0.0403
temporal,B1_haz_slope,recall@20%,0.30802,0.08388937358211707,5,0.3080 ± 0.0839
temporal,B2_logreg,recall@20%,0.24068,0.03396456977498758,5,0.2407 ± 0.0340
temporal,M1_snapshot,recall@20%,0.35372,0.04746395474462703,5,0.3537 ± 0.0475
temporal,M2_plus_trajectory,recall@20%,0.43582,0.03445833716243427,5,0.4358 ± 0.0345
temporal,M3_plus_contextual,recall@20%,0.44489999999999996,0.054998499979544875,5,0.4449 ± 0.0550
grouped,B0_haz_only,precision@20%,0.10418000000000001,0.04658848570194141,5,0.1042 ± 0.0466
grouped,B1_haz_slope,precision@20%,0.15,0.040056397741184864,5,0.1500 ± 0.0401
grouped,B2_logreg,precision@20%,0.14166,0.030888476815796536,5,0.1417 ± 0.0309
grouped,M1_snapshot,precision@20%,0.2125,0.047481733329776406,5,0.2125 ± 0.0475
grouped,M2_plus_trajectory,precision@20%,0.25,0.06908378970496624,5,0.2500 ± 0.0691
grouped,M3_plus_contextual,precision@20%,0.2375,0.060005791387165296,5,0.2375 ± 0.0600
temporal,B0_haz_only,precision@20%,0.16804000000000002,0.0364656413627952,5,0.1680 ± 0.0365
temporal,B1_haz_slope,precision@20%,0.20822000000000002,0.0663686447051618,5,0.2082 ± 0.0664
temporal,B2_logreg,precision@20%,0.16084,0.020424935740412986,5,0.1608 ± 0.0204
temporal,M1_snapshot,precision@20%,0.23769999999999997,0.03962467665483216,5,0.2377 ± 0.0396
temporal,M2_plus_trajectory,precision@20%,0.29134000000000004,0.016118405628349222,5,0.2913 ± 0.0161
temporal,M3_plus_contextual,precision@20%,0.29786,0.03748750458486135,5,0.2979 ± 0.0375
grouped,B0_haz_only,lift@20%,1.0482,0.5009867263710687,5,1.0482 ± 0.5010
grouped,B1_haz_slope,lift@20%,1.4944,0.4836075888569161,5,1.4944 ± 0.4836
grouped,B2_logreg,lift@20%,1.3704,0.18196510654518352,5,1.3704 ± 0.1820
grouped,M1_snapshot,lift@20%,2.0620000000000003,0.3277216806987295,5,2.0620 ± 0.3277
grouped,M2_plus_trajectory,lift@20%,2.4104,0.49694798520569533,5,2.4104 ± 0.4969
grouped,M3_plus_contextual,lift@20%,2.2948,0.41013497778170543,5,2.2948 ± 0.4101
temporal,B0_haz_only,lift@20%,1.2471999999999999,0.20171688080078978,5,1.2472 ± 0.2017
temporal,B1_haz_slope,lift@20%,1.5404,0.41863325238208204,5,1.5404 ± 0.4186
temporal,B2_logreg,lift@20%,1.204,0.17042300314218153,5,1.2040 ± 0.1704
temporal,M1_snapshot,lift@20%,1.7692,0.23676824111354128,5,1.7692 ± 0.2368
temporal,M2_plus_trajectory,lift@20%,2.1798,0.17376046731060557,5,2.1798 ± 0.1738
temporal,M3_plus_contextual,lift@20%,2.2256,0.27598061526128953,5,2.2256 ± 0.2760
