generator_seed,random_seed,evaluation,model,n,n_positive,prevalence,auprc,roc_auc,recall@5%,precision@5%,lift@5%,recall@10%,precision@10%,lift@10%,recall@20%,precision@20%,lift@20%,precision,recall,f1,tp,fp,fn,tn,operating_point,n_flagged,raw_brier,score_type
42,42,grouped,B0_haz_only,240,26,0.1083,0.1358,0.5835,0.0,0.0,0.0,0.1538,0.1667,1.538,0.2308,0.125,1.154,0.125,0.2308,0.1622,6,42,20,172,top-20%,48,,ranking
42,42,grouped,B1_haz_slope,240,26,0.1083,0.1464,0.6111,0.0385,0.0833,0.769,0.1154,0.125,1.154,0.2308,0.125,1.154,0.125,0.2308,0.1622,6,42,20,172,top-20%,48,,ranking
42,42,grouped,B2_logreg,240,26,0.1083,0.1615,0.6213,0.1154,0.25,2.308,0.1923,0.2083,1.923,0.2692,0.1458,1.346,0.1458,0.2692,0.1892,7,41,19,173,top-20%,48,0.222,probability
42,42,grouped,M1_snapshot,240,26,0.1083,0.2108,0.6005,0.1154,0.25,2.308,0.1923,0.2083,1.923,0.3077,0.1667,1.538,0.1667,0.3077,0.2162,8,40,18,174,top-20%,48,0.0991,probability
42,42,grouped,M2_plus_trajectory,240,26,0.1083,0.1761,0.6857,0.1154,0.25,2.308,0.1538,0.1667,1.538,0.3462,0.1875,1.731,0.1875,0.3462,0.2432,9,39,17,175,top-20%,48,0.0981,probability
42,42,grouped,M3_plus_contextual,240,26,0.1083,0.1875,0.658,0.1154,0.25,2.308,0.2692,0.2917,2.692,0.3462,0.1875,1.731,0.1875,0.3462,0.2432,9,39,17,175,top-20%,48,0.0984,probability
314,314,grouped,B0_haz_only,240,25,0.1042,0.2399,0.6773,0.16,0.3333,3.2,0.16,0.1667,1.6,0.32,0.1667,1.6,0.1667,0.32,0.2192,8,40,17,175,top-20%,48,,ranking
314,314,grouped,B1_haz_slope,240,25,0.1042,0.2551,0.6973,0.12,0.25,2.4,0.2,0.2083,2.0,0.4,0.2083,2.0,0.2083,0.4,0.274,10,38,15,177,top-20%,48,,ranking
314,314,grouped,B2_logreg,240,25,0.1042,0.1975,0.6618,0.08,0.1667,1.6,0.16,0.1667,1.6,0.24,0.125,1.2,0.125,0.24,0.1644,6,42,19,173,top-20%,48,0.1982,probability
314,314,grouped,M1_snapshot,240,25,0.1042,0.172,0.6128,0.16,0.3333,3.2,0.16,0.1667,1.6,0.4,0.2083,2.0,0.2083,0.4,0.274,10,38,15,177,top-20%,48,0.0956,probability
314,314,grouped,M2_plus_trajectory,240,25,0.1042,0.3077,0.8149,0.08,0.1667,1.6,0.28,0.2917,2.8,0.6,0.3125,3.0,0.3125,0.6,0.411,15,33,10,182,top-20%,48,0.0952,probability
314,314,grouped,M3_plus_contextual,240,25,0.1042,0.2597,0.7776,0.12,0.25,2.4,0.24,0.25,2.4,0.52,0.2708,2.6,0.2708,0.52,0.3562,13,35,12,180,top-20%,48,0.0943,probability
1618,1618,grouped,B0_haz_only,240,28,0.1167,0.1206,0.5409,0.0357,0.0833,0.714,0.0357,0.0417,0.357,0.0714,0.0417,0.357,0.0417,0.0714,0.0526,2,46,26,166,top-20%,48,,ranking
1618,1618,grouped,B1_haz_slope,240,28,0.1167,0.1536,0.6181,0.0357,0.0833,0.714,0.1071,0.125,1.071,0.1786,0.1042,0.893,0.1042,0.1786,0.1316,5,43,23,169,top-20%,48,,ranking
1618,1618,grouped,B2_logreg,240,28,0.1167,0.1564,0.6294,0.0357,0.0833,0.714,0.1071,0.125,1.071,0.25,0.1458,1.25,0.1458,0.25,0.1842,7,41,21,171,top-20%,48,0.2127,probability
1618,1618,grouped,M1_snapshot,240,28,0.1167,0.2467,0.6884,0.1786,0.4167,3.571,0.2143,0.25,2.143,0.4286,0.25,2.143,0.25,0.4286,0.3158,12,36,16,176,top-20%,48,0.103,probability
1618,1618,grouped,M2_plus_trajectory,240,28,0.1167,0.2594,0.7551,0.1071,0.25,2.143,0.2857,0.3333,2.857,0.4643,0.2708,2.321,0.2708,0.4643,0.3421,13,35,15,177,top-20%,48,0.1014,probability
1618,1618,grouped,M3_plus_contextual,240,28,0.1167,0.246,0.7394,0.1071,0.25,2.143,0.25,0.2917,2.5,0.4286,0.25,2.143,0.25,0.4286,0.3158,12,36,16,176,top-20%,48,0.102,probability
2026,2026,grouped,B0_haz_only,240,18,0.075,0.1663,0.5833,0.1111,0.1667,2.222,0.1111,0.0833,1.111,0.2778,0.1042,1.389,0.1042,0.2778,0.1515,5,43,13,179,top-20%,48,,ranking
2026,2026,grouped,B1_haz_slope,240,18,0.075,0.1696,0.6289,0.1111,0.1667,2.222,0.1111,0.0833,1.111,0.3889,0.1458,1.944,0.1458,0.3889,0.2121,7,41,11,181,top-20%,48,,ranking
2026,2026,grouped,B2_logreg,240,18,0.075,0.0987,0.5671,0.0,0.0,0.0,0.1667,0.125,1.667,0.2778,0.1042,1.389,0.1042,0.2778,0.1515,5,43,13,179,top-20%,48,0.1935,probability
2026,2026,grouped,M1_snapshot,240,18,0.075,0.2017,0.5888,0.2222,0.3333,4.444,0.3333,0.25,3.333,0.4444,0.1667,2.222,0.1667,0.4444,0.2424,8,40,10,182,top-20%,48,0.0759,probability
2026,2026,grouped,M2_plus_trajectory,240,18,0.075,0.2071,0.6952,0.1667,0.25,3.333,0.1667,0.125,1.667,0.4444,0.1667,2.222,0.1667,0.4444,0.2424,8,40,10,182,top-20%,48,0.0769,probability
2026,2026,grouped,M3_plus_contextual,240,18,0.075,0.1523,0.6542,0.1667,0.25,3.333,0.2778,0.2083,2.778,0.4444,0.1667,2.222,0.1667,0.4444,0.2424,8,40,10,182,top-20%,48,0.0754,probability
2718,2718,grouped,B0_haz_only,240,27,0.1125,0.1506,0.6215,0.037,0.0833,0.741,0.1111,0.125,1.111,0.1481,0.0833,0.741,0.0833,0.1481,0.1067,4,44,23,169,top-20%,48,,ranking
