generator_seed,random_seed,evaluation,model,n,n_positive,prevalence,auprc,roc_auc,recall@5%,precision@5%,lift@5%,recall@10%,precision@10%,lift@10%,recall@20%,precision@20%,lift@20%,precision,recall,f1,tp,fp,fn,tn,operating_point,n_flagged,raw_brier,score_type
42,42,grouped,B0_haz_only,240,26,0.1083,0.1358,0.5835,0.0,0.0,0.0,0.1538,0.1667,1.538,0.2308,0.125,1.154,0.125,0.2308,0.1622,6,42,20,172,top-20%,48,,ranking
42,42,grouped,B1_haz_slope,240,26,0.1083,0.1464,0.6111,0.0385,0.0833,0.769,0.1154,0.125,1.154,0.2308,0.125,1.154,0.125,0.2308,0.1622,6,42,20,172,top-20%,48,,ranking
42,42,grouped,B2_logreg,240,26,0.1083,0.1615,0.6213,0.1154,0.25,2.308,0.1923,0.2083,1.923,0.2692,0.1458,1.346,0.1458,0.2692,0.1892,7,41,19,173,top-20%,48,0.222,probability
42,42,grouped,M1_snapshot,240,26,0.1083,0.2108,0.6005,0.1154,0.25,2.308,0.1923,0.2083,1.923,0.3077,0.1667,1.538,0.1667,0.3077,0.2162,8,40,18,174,top-20%,48,0.0991,probability
42,42,grouped,M2_plus_trajectory,240,26,0.1083,0.1761,0.6857,0.1154,0.25,2.308,0.1538,0.1667,1.538,0.3462,0.1875,1.731,0.1875,0.3462,0.2432,9,39,17,175,top-20%,48,0.0981,probability
42,42,grouped,M3_plus_contextual,240,26,0.1083,0.1875,0.658,0.1154,0.25,2.308,0.2692,0.2917,2.692,0.3462,0.1875,1.731,0.1875,0.3462,0.2432,9,39,17,175,top-20%,48,0.0984,probability
42,42,temporal,B0_haz_only,1063,140,0.1317,0.1697,0.598,0.0714,0.1887,1.433,0.1429,0.1887,1.433,0.2357,0.1549,1.176,0.1549,0.2357,0.187,33,180,107,743,top-20%,213,,ranking
42,42,temporal,B1_haz_slope,1063,140,0.1317,0.1962,0.6369,0.0857,0.2264,1.719,0.1643,0.217,1.648,0.2929,0.1925,1.462,0.1925,0.2929,0.2323,41,172,99,751,top-20%,213,,ranking
42,42,temporal,B2_logreg,1063,140,0.1317,0.1541,0.5593,0.05,0.1321,1.003,0.1214,0.1604,1.218,0.2571,0.169,1.283,0.169,0.2571,0.204,36,177,104,746,top-20%,213,0.2461,probability
42,42,temporal,M1_snapshot,1063,140,0.1317,0.2539,0.6758,0.15,0.3962,3.008,0.25,0.3302,2.507,0.4,0.2629,1.996,0.2629,0.4,0.3173,56,157,84,766,top-20%,213,0.1207,probability
42,42,temporal,M2_plus_trajectory,1063,140,0.1317,0.3149,0.7424,0.1714,0.4528,3.438,0.2929,0.3868,2.937,0.4429,0.2911,2.21,0.2911,0.4429,0.3513,62,151,78,772,top-20%,213,0.1215,probability
42,42,temporal,M3_plus_contextual,1063,140,0.1317,0.3285,0.7509,0.1643,0.434,3.295,0.2786,0.3679,2.794,0.4714,0.3099,2.353,0.3099,0.4714,0.3739,66,147,74,776,top-20%,213,0.121,probability
314,314,grouped,B0_haz_only,240,25,0.1042,0.2399,0.6773,0.16,0.3333,3.2,0.16,0.1667,1.6,0.32,0.1667,1.6,0.1667,0.32,0.2192,8,40,17,175,top-20%,48,,ranking
314,314,grouped,B1_haz_slope,240,25,0.1042,0.2551,0.6973,0.12,0.25,2.4,0.2,0.2083,2.0,0.4,0.2083,2.0,0.2083,0.4,0.274,10,38,15,177,top-20%,48,,ranking
314,314,grouped,B2_logreg,240,25,0.1042,0.1975,0.6618,0.08,0.1667,1.6,0.16,0.1667,1.6,0.24,0.125,1.2,0.125,0.24,0.1644,6,42,19,173,top-20%,48,0.1982,probability
314,314,grouped,M1_snapshot,240,25,0.1042,0.172,0.6128,0.16,0.3333,3.2,0.16,0.1667,1.6,0.4,0.2083,2.0,0.2083,0.4,0.274,10,38,15,177,top-20%,48,0.0956,probability
314,314,grouped,M2_plus_trajectory,240,25,0.1042,0.3077,0.8149,0.08,0.1667,1.6,0.28,0.2917,2.8,0.6,0.3125,3.0,0.3125,0.6,0.411,15,33,10,182,top-20%,48,0.0952,probability
314,314,grouped,M3_plus_contextual,240,25,0.1042,0.2597,0.7776,0.12,0.25,2.4,0.24,0.25,2.4,0.52,0.2708,2.6,0.2708,0.52,0.3562,13,35,12,180,top-20%,48,0.0943,probability
314,314,temporal,B0_haz_only,1062,134,0.1262,0.1821,0.6302,0.0821,0.2075,1.645,0.1418,0.1792,1.421,0.2313,0.1462,1.159,0.1462,0.2313,0.1792,31,181,103,747,top-20%,212,,ranking
314,314,temporal,B1_haz_slope,1062,134,0.1262,0.1821,0.6302,0.0821,0.2075,1.645,0.1418,0.1792,1.421,0.2313,0.1462,1.159,0.1462,0.2313,0.1792,31,181,103,747,top-20%,212,,ranking
314,314,temporal,B2_logreg,1062,134,0.1262,0.16,0.6007,0.0746,0.1887,1.495,0.1493,0.1887,1.495,0.2463,0.1557,1.234,0.1557,0.2463,0.1908,33,179,101,749,top-20%,212,0.2403,probability
314,314,temporal,M1_snapshot,1062,134,0.1262,0.2141,0.6454,0.1567,0.3962,3.14,0.2015,0.2547,2.019,0.2985,0.1887,1.495,0.1887,0.2985,0.2312,40,172,94,756,top-20%,212,0.1108,probability
314,314,temporal,M2_plus_trajectory,1062,134,0.1262,0.3339,0.7799,0.1642,0.4151,3.29,0.3134,0.3962,3.14,0.4925,0.3113,2.467,0.3113,0.4925,0.3815,66,146,68,782,top-20%,212,0.1083,probability
314,314,temporal,M3_plus_contextual,1062,134,0.1262,0.3493,0.7784,0.1866,0.4717,3.738,0.291,0.3679,2.916,0.5075,0.3208,2.542,0.3208,0.5075,0.3931,68,144,66,784,top-20%,212,0.1101,probability
1618,1618,grouped,B0_haz_only,240,28,0.1167,0.1206,0.5409,0.0357,0.0833,0.714,0.0357,0.0417,0.357,0.0714,0.0417,0.357,0.0417,0.0714,0.0526,2,46,26,166,top-20%,48,,ranking
