evaluation,scenario,perturbation_kind,perturbation_level,metric,mean,std,n_seeds,mean_std
grouped,baseline,none,0.0,auprc,0.27348,0.09471685172132782,5,0.2735 ± 0.0947
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,auprc,0.29358,0.1211674543761649,5,0.2936 ± 0.1212
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,auprc,0.21604,0.02186122137484546,5,0.2160 ± 0.0219
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,auprc,0.15356,0.04320009259249336,5,0.1536 ± 0.0432
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,auprc,0.27524,0.08225942499191202,5,0.2752 ± 0.0823
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,auprc,0.2391,0.09227908755509019,5,0.2391 ± 0.0923
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,auprc,0.24472,0.06958715398692492,5,0.2447 ± 0.0696
grouped,current_measurement_missing,current_measurement_missing,1.0,auprc,0.14645999999999998,0.0363364555233446,5,0.1465 ± 0.0363
temporal,baseline,none,0.0,auprc,0.29764,0.031140536283114972,5,0.2976 ± 0.0311
temporal,length_noise_sigma_0_5cm,length_noise_cm,0.5,auprc,0.26361999999999997,0.03657276308949051,5,0.2636 ± 0.0366
temporal,length_noise_sigma_1_0cm,length_noise_cm,1.0,auprc,0.22624,0.034881556731315745,5,0.2262 ± 0.0349
temporal,length_noise_sigma_2_0cm,length_noise_cm,2.0,auprc,0.18604,0.013899748199158138,5,0.1860 ± 0.0139
temporal,length_missing_plus_10pct,length_missing_fraction,0.1,auprc,0.29324,0.03457662505219386,5,0.2932 ± 0.0346
temporal,length_missing_plus_20pct,length_missing_fraction,0.2,auprc,0.27430000000000004,0.041010852222308165,5,0.2743 ± 0.0410
temporal,length_missing_plus_30pct,length_missing_fraction,0.3,auprc,0.24769999999999998,0.03663516070662171,5,0.2477 ± 0.0366
temporal,current_measurement_missing,current_measurement_missing,1.0,auprc,0.20168,0.02932314785284827,5,0.2017 ± 0.0293
grouped,baseline,none,0.0,recall@5%,0.1531,0.0859827017486657,5,0.1531 ± 0.0860
grouped,length_noise_sigma_0_5cm,length_noise_cm,0.5,recall@5%,0.19158,0.09287403835302953,5,0.1916 ± 0.0929
grouped,length_noise_sigma_1_0cm,length_noise_cm,1.0,recall@5%,0.1351,0.061641706660344825,5,0.1351 ± 0.0616
grouped,length_noise_sigma_2_0cm,length_noise_cm,2.0,recall@5%,0.06018,0.04301263767778024,5,0.0602 ± 0.0430
grouped,length_missing_plus_10pct,length_missing_fraction,0.1,recall@5%,0.17248,0.06593069846437241,5,0.1725 ± 0.0659
grouped,length_missing_plus_20pct,length_missing_fraction,0.2,recall@5%,0.16482000000000002,0.07547116667973273,5,0.1648 ± 0.0755
grouped,length_missing_plus_30pct,length_missing_fraction,0.3,recall@5%,0.13168,0.07381149639453194,5,0.1317 ± 0.0738
grouped,current_measurement_missing,current_measurement_missing,1.0,recall@5%,0.0984,0.06837645793692446,5,0.0984 ± 0.0684
temporal,baseline,none,0.0,recall@5%,0.16263999999999998,0.007150034964949472,5,0.1626 ± 0.0072
