generator_seed,evaluation,model,model_fingerprint_sha256,scenario,perturbation_kind,perturbation_level,n_intended,n_scored,coverage,perturbation_seed,n_candidate_measurements,n_perturbed_measurements,realized_perturbation_fraction,max_perturbed_date,causal_timing_verified,auprc,recall@5%,recall@10%,recall@20%,precision@5%,precision@10%,precision@20%,lift@5%,lift@10%,lift@20%,delta_auprc,delta_recall@20%,delta_precision@20%,delta_lift@20%
42,grouped,M2_plus_trajectory,396a904db0957e717388b186b1f2bb605744216a2543f622311a881ad74afede,baseline,none,0.0,240,240,1.0,4188448369,3973,0,0.0,,True,0.1761,0.1154,0.1538,0.3462,0.25,0.1667,0.1875,2.308,1.538,1.731,0.0,0.0,0.0,0.0
42,grouped,M2_plus_trajectory,396a904db0957e717388b186b1f2bb605744216a2543f622311a881ad74afede,length_noise_sigma_0_5cm,length_noise_cm,0.5,240,240,1.0,40420472,3973,3973,1.0,2026-06-13,True,0.2604,0.2308,0.3077,0.4615,0.5,0.3333,0.25,4.615,3.077,2.308,0.08430000000000001,0.11530000000000001,0.0625,0.5769999999999997
42,grouped,M2_plus_trajectory,396a904db0957e717388b186b1f2bb605744216a2543f622311a881ad74afede,length_noise_sigma_1_0cm,length_noise_cm,1.0,240,240,1.0,3232443249,3973,3973,1.0,2026-06-13,True,0.1999,0.1538,0.1923,0.3846,0.3333,0.2083,0.2083,3.077,1.923,1.923,0.023799999999999988,0.03839999999999999,0.020800000000000013,0.19199999999999995
42,grouped,M2_plus_trajectory,396a904db0957e717388b186b1f2bb605744216a2543f622311a881ad74afede,length_noise_sigma_2_0cm,length_noise_cm,2.0,240,240,1.0,1227368462,3973,3973,1.0,2026-06-13,True,0.1255,0.0,0.1923,0.2308,0.0,0.2083,0.125,0.0,1.923,1.154,-0.050600000000000006,-0.1154,-0.0625,-0.5770000000000002
42,grouped,M2_plus_trajectory,396a904db0957e717388b186b1f2bb605744216a2543f622311a881ad74afede,length_missing_plus_10pct,length_missing_fraction,0.1,240,240,1.0,838510175,3973,397,0.09992449030958973,2026-05-22,True,0.1763,0.1538,0.1923,0.3462,0.3333,0.2083,0.1875,3.077,1.923,1.731,0.00020000000000000573,0.0,0.0,0.0
42,grouped,M2_plus_trajectory,396a904db0957e717388b186b1f2bb605744216a2543f622311a881ad74afede,length_missing_plus_20pct,length_missing_fraction,0.2,240,240,1.0,2733537890,3973,795,0.2001006795872137,2026-05-18,True,0.188,0.1538,0.2308,0.3462,0.3333,0.25,0.1875,3.077,2.308,1.731,0.011899999999999994,0.0,0.0,0.0
42,grouped,M2_plus_trajectory,396a904db0957e717388b186b1f2bb605744216a2543f622311a881ad74afede,length_missing_plus_30pct,length_missing_fraction,0.3,240,240,1.0,2373172428,3973,1192,0.30002516989680345,2026-05-22,True,0.1972,0.1538,0.2692,0.3462,0.3333,0.2917,0.1875,3.077,2.692,1.731,0.02109999999999998,0.0,0.0,0.0
42,grouped,M2_plus_trajectory,396a904db0957e717388b186b1f2bb605744216a2543f622311a881ad74afede,current_measurement_missing,current_measurement_missing,1.0,240,240,1.0,1313201921,3973,240,0.06040775232821546,2026-06-13,True,0.1624,0.1154,0.1923,0.4231,0.25,0.2083,0.2292,2.308,1.923,2.115,-0.013700000000000018,0.07689999999999997,0.04169999999999999,0.3840000000000001
42,temporal,M2_plus_trajectory,42afcb850201be120695b7f9ca7b50142854f9d1fdb76cdb2251b98d2fbf872a,baseline,none,0.0,1063,1063,1.0,4188448369,14975,0,0.0,,True,0.3149,0.1714,0.2929,0.4429,0.4528,0.3868,0.2911,3.438,2.937,2.21,0.0,0.0,0.0,0.0
42,temporal,M2_plus_trajectory,42afcb850201be120695b7f9ca7b50142854f9d1fdb76cdb2251b98d2fbf872a,length_noise_sigma_0_5cm,length_noise_cm,0.5,1063,1063,1.0,40420472,14975,14975,1.0,2026-02-23,True,0.3157,0.1714,0.2643,0.4429,0.4528,0.3491,0.2911,3.438,2.65,2.21,0.0007999999999999674,0.0,0.0,0.0
42,temporal,M2_plus_trajectory,42afcb850201be120695b7f9ca7b50142854f9d1fdb76cdb2251b98d2fbf872a,length_noise_sigma_1_0cm,length_noise_cm,1.0,1063,1063,1.0,3232443249,14975,14975,1.0,2026-02-23,True,0.2118,0.1,0.1786,0.3429,0.2642,0.2358,0.2254,2.006,1.791,1.711,-0.10310000000000002,-0.10000000000000003,-0.06570000000000004,-0.4989999999999999
42,temporal,M2_plus_trajectory,42afcb850201be120695b7f9ca7b50142854f9d1fdb76cdb2251b98d2fbf872a,length_noise_sigma_2_0cm,length_noise_cm,2.0,1063,1063,1.0,1227368462,14975,14975,1.0,2026-02-23,True,0.2027,0.1143,0.1714,0.3143,0.3019,0.2264,0.2066,2.292,1.719,1.568,-0.11220000000000002,-0.1286,-0.08450000000000002,-0.6419999999999999
42,temporal,M2_plus_trajectory,42afcb850201be120695b7f9ca7b50142854f9d1fdb76cdb2251b98d2fbf872a,length_missing_plus_10pct,length_missing_fraction,0.1,1063,1063,1.0,838510175,14975,1498,0.10003338898163606,2025-11-28,True,0.3039,0.1571,0.2571,0.4429,0.4151,0.3396,0.2911,3.152,2.579,2.21,-0.01100000000000001,0.0,0.0,0.0
42,temporal,M2_plus_trajectory,42afcb850201be120695b7f9ca7b50142854f9d1fdb76cdb2251b98d2fbf872a,length_missing_plus_20pct,length_missing_fraction,0.2,1063,1063,1.0,2733537890,14975,2995,0.2,2026-01-12,True,0.3108,0.1643,0.2286,0.4286,0.434,0.3019,0.2817,3.295,2.292,2.139,-0.0040999999999999925,-0.014300000000000035,-0.00940000000000002,-0.07100000000000017
42,temporal,M2_plus_trajectory,42afcb850201be120695b7f9ca7b50142854f9d1fdb76cdb2251b98d2fbf872a,length_missing_plus_30pct,length_missing_fraction,0.3,1063,1063,1.0,2373172428,14975,4492,0.2999666110183639,2026-02-23,True,0.2513,0.1286,0.2,0.35,0.3396,0.2642,0.23,2.579,2.006,1.747,-0.06359999999999999,-0.09290000000000004,-0.061100000000000015,-0.46299999999999986
42,temporal,M2_plus_trajectory,42afcb850201be120695b7f9ca7b50142854f9d1fdb76cdb2251b98d2fbf872a,current_measurement_missing,current_measurement_missing,1.0,1063,1063,1.0,1313201921,14975,1063,0.07098497495826377,2026-02-23,True,0.193,0.1071,0.1786,0.3214,0.283,0.2358,0.2113,2.149,1.791,1.604,-0.12190000000000001,-0.1215,-0.07980000000000004,-0.6059999999999999
314,grouped,M2_plus_trajectory,8826aff245a4288c334581baad0065aea02a9d58d870cd0b4f315fc682d99796,baseline,none,0.0,240,240,1.0,2979462678,3997,0,0.0,,True,0.3077,0.08,0.28,0.6,0.1667,0.2917,0.3125,1.6,2.8,3.0,0.0,0.0,0.0,0.0
314,grouped,M2_plus_trajectory,8826aff245a4288c334581baad0065aea02a9d58d870cd0b4f315fc682d99796,length_noise_sigma_0_5cm,length_noise_cm,0.5,240,240,1.0,162657829,3997,3997,1.0,2026-06-03,True,0.2448,0.12,0.24,0.56,0.25,0.25,0.2917,2.4,2.4,2.8,-0.06289999999999998,-0.039999999999999925,-0.020799999999999985,-0.20000000000000018
314,grouped,M2_plus_trajectory,8826aff245a4288c334581baad0065aea02a9d58d870cd0b4f315fc682d99796,length_noise_sigma_1_0cm,length_noise_cm,1.0,240,240,1.0,1555381480,3997,3997,1.0,2026-06-03,True,0.2141,0.08,0.24,0.48,0.1667,0.25,0.25,1.6,2.4,2.4,-0.09359999999999996,-0.12,-0.0625,-0.6000000000000001
314,grouped,M2_plus_trajectory,8826aff245a4288c334581baad0065aea02a9d58d870cd0b4f315fc682d99796,length_noise_sigma_2_0cm,length_noise_cm,2.0,240,240,1.0,3870334724,3997,3997,1.0,2026-06-03,True,0.2145,0.08,0.2,0.52,0.1667,0.2083,0.2708,1.6,2.0,2.6,-0.09319999999999998,-0.07999999999999996,-0.041700000000000015,-0.3999999999999999
