n_children,n_positive,prevalence,k_fraction,k_count,n_unique_scores,unique_score_ratio,cutoff_score,n_score_above_cutoff,n_score_equal_cutoff,slots_taken_from_tie,positive_above_cutoff,positive_in_tie_group,observed_tp,observed_recall_at_k,observed_precision_at_k,observed_lift_at_k,min_tp,max_tp,min_recall_at_k,max_recall_at_k,min_precision_at_k,max_precision_at_k,min_lift_at_k,max_lift_at_k,generator_seed,evaluation,model,model_fingerprint_sha256,recall_range_width,precision_range_width,lift_range_width
240,26,0.10833333333333334,0.05,12,25,0.10416666666666667,0.1850535916574116,0,20,12,0,4,3,0.11538461538461539,0.25,2.3076923076923075,0,4,0.0,0.15384615384615385,0.0,0.3333333333333333,0.0,3.0769230769230766,42,grouped,M2_plus_trajectory,396a904db0957e717388b186b1f2bb605744216a2543f622311a881ad74afede,0.15384615384615385,0.3333333333333333,3.0769230769230766
240,26,0.10833333333333334,0.1,24,25,0.10416666666666667,0.18467153801582134,20,12,4,4,2,4,0.15384615384615385,0.16666666666666666,1.5384615384615383,4,6,0.15384615384615385,0.23076923076923078,0.16666666666666666,0.25,1.5384615384615383,2.3076923076923075,42,grouped,M2_plus_trajectory,396a904db0957e717388b186b1f2bb605744216a2543f622311a881ad74afede,0.07692307692307693,0.08333333333333334,0.7692307692307692
240,26,0.10833333333333334,0.2,48,25,0.10416666666666667,0.17334847156804314,45,28,3,8,5,9,0.34615384615384615,0.1875,1.7307692307692306,8,11,0.3076923076923077,0.4230769230769231,0.16666666666666666,0.22916666666666666,1.5384615384615383,2.1153846153846154,42,grouped,M2_plus_trajectory,396a904db0957e717388b186b1f2bb605744216a2543f622311a881ad74afede,0.11538461538461536,0.0625,0.5769230769230771
1063,140,0.1317027281279398,0.05,53,992,0.9332079021636877,0.42617405092541616,52,1,1,24,0,24,0.17142857142857143,0.4528301886792453,3.4382749326145556,24,24,0.17142857142857143,0.17142857142857143,0.4528301886792453,0.4528301886792453,3.4382749326145556,3.4382749326145556,42,temporal,M2_plus_trajectory,42afcb850201be120695b7f9ca7b50142854f9d1fdb76cdb2251b98d2fbf872a,0.0,0.0,0.0
1063,140,0.1317027281279398,0.1,106,992,0.9332079021636877,0.40470917175696497,105,7,1,41,0,41,0.29285714285714287,0.3867924528301887,2.9368598382749327,41,41,0.29285714285714287,0.29285714285714287,0.3867924528301887,0.3867924528301887,2.9368598382749327,2.9368598382749327,42,temporal,M2_plus_trajectory,42afcb850201be120695b7f9ca7b50142854f9d1fdb76cdb2251b98d2fbf872a,0.0,0.0,0.0
1063,140,0.1317027281279398,0.2,213,992,0.9332079021636877,0.3654955700473682,212,1,1,62,0,62,0.44285714285714284,0.29107981220657275,2.210127431254192,62,62,0.44285714285714284,0.44285714285714284,0.29107981220657275,0.29107981220657275,2.210127431254192,2.210127431254192,42,temporal,M2_plus_trajectory,42afcb850201be120695b7f9ca7b50142854f9d1fdb76cdb2251b98d2fbf872a,0.0,0.0,0.0
240,25,0.10416666666666667,0.05,12,232,0.9666666666666667,0.404277595444493,11,1,1,2,0,2,0.08,0.16666666666666666,1.5999999999999999,2,2,0.08,0.08,0.16666666666666666,0.16666666666666666,1.5999999999999999,1.5999999999999999,314,grouped,M2_plus_trajectory,8826aff245a4288c334581baad0065aea02a9d58d870cd0b4f315fc682d99796,0.0,0.0,0.0
240,25,0.10416666666666667,0.1,24,232,0.9666666666666667,0.36166553281984104,23,1,1,7,0,7,0.28,0.2916666666666667,2.8000000000000003,7,7,0.28,0.28,0.2916666666666667,0.2916666666666667,2.8000000000000003,2.8000000000000003,314,grouped,M2_plus_trajectory,8826aff245a4288c334581baad0065aea02a9d58d870cd0b4f315fc682d99796,0.0,0.0,0.0
240,25,0.10416666666666667,0.2,48,232,0.9666666666666667,0.31716846330750054,47,1,1,15,0,15,0.6,0.3125,3.0,15,15,0.6,0.6,0.3125,0.3125,3.0,3.0,314,grouped,M2_plus_trajectory,8826aff245a4288c334581baad0065aea02a9d58d870cd0b4f315fc682d99796,0.0,0.0,0.0
1062,134,0.12617702448210924,0.05,53,910,0.8568738229755178,0.3972572862730143,52,1,1,21,1,22,0.16417910447761194,0.41509433962264153,3.289777527457054,22,22,0.16417910447761194,0.16417910447761194,0.41509433962264153,0.41509433962264153,3.289777527457054,3.289777527457054,314,temporal,M2_plus_trajectory,c17b7948c253620fbd47443590bee1d5849e6ffef46736d0bd9e6ad4d9fecc38,0.0,0.0,0.0
1062,134,0.12617702448210924,0.1,106,910,0.8568738229755178,0.3613478641126192,105,1,1,42,0,42,0.31343283582089554,0.39622641509433965,3.1402421852999156,42,42,0.31343283582089554,0.31343283582089554,0.39622641509433965,0.39622641509433965,3.1402421852999156,3.1402421852999156,314,temporal,M2_plus_trajectory,c17b7948c253620fbd47443590bee1d5849e6ffef46736d0bd9e6ad4d9fecc38,0.0,0.0,0.0
1062,134,0.12617702448210924,0.2,212,910,0.8568738229755178,0.3105661984059119,211,1,1,66,0,66,0.4925373134328358,0.3113207547169811,2.4673331455927903,66,66,0.4925373134328358,0.4925373134328358,0.3113207547169811,0.3113207547169811,2.4673331455927903,2.4673331455927903,314,temporal,M2_plus_trajectory,c17b7948c253620fbd47443590bee1d5849e6ffef46736d0bd9e6ad4d9fecc38,0.0,0.0,0.0
